to_iana BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.auxiliary_production_anode_zyfra depends on api.dag_load_api_kraz BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.kpi_aggregation_characteristic_ppk depends on landing.kpi_aggregation_characteristic_ppk BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: dict_stg.sapxi_foundry_wip_group_materials depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: dm.kpi_indicators_daily_gd depends on ods.alumina_production_xls BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: ods.investment_expenses depends on stg.bip_zbw1642m_srv BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.alarm_accidents depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.ad_users depends on api.dag_load_ad_users BUT META NOT FOUND
table-dependency-viewer-api-1  | ⚠️ rebuilding orderbreaches cache
table-dependency-viewer-api-1  | ⚠️ rebuilding table sizes cache
[root@rgm-s-dwhapp01 table-dependency-viewer]# docker compose logs api --tail=250
table-dependency-viewer-api-1  | BOOT FILE: /app/api/main.py
table-dependency-viewer-api-1  | AUTH AUDIT INIT WARNING: (psycopg2.errors.SyntaxError) syntax error at or near "NOT"
table-dependency-viewer-api-1  | LINE 2:                 CREATE SEQUENCE IF NOT EXISTS tech_etl.app_u...
table-dependency-viewer-api-1  |                                            ^
table-dependency-viewer-api-1  |
table-dependency-viewer-api-1  | [SQL:
table-dependency-viewer-api-1  |                 CREATE SEQUENCE IF NOT EXISTS tech_etl.app_user_event_id_seq
table-dependency-viewer-api-1  |                 ]
table-dependency-viewer-api-1  | (Background on this error at: https://sqlalche.me/e/20/f405)
table-dependency-viewer-api-1  | AUTH FAVORITES INIT WARNING: (psycopg2.errors.SyntaxError) syntax error at or near "NOT"
table-dependency-viewer-api-1  | LINE 2:                 CREATE SEQUENCE IF NOT EXISTS tech_etl.app_u...
table-dependency-viewer-api-1  |                                            ^
table-dependency-viewer-api-1  |
table-dependency-viewer-api-1  | [SQL:
table-dependency-viewer-api-1  |                 CREATE SEQUENCE IF NOT EXISTS tech_etl.app_user_favorite_id_seq
table-dependency-viewer-api-1  |                 ]
table-dependency-viewer-api-1  | (Background on this error at: https://sqlalche.me/e/20/f405)
table-dependency-viewer-api-1  | /app/api/main.py:421: UserWarning: Field name "schema" in "AssistantContextPayload" shadows an attribute in parent "BaseModel"
table-dependency-viewer-api-1  |   class AssistantContextPayload(BaseModel):
table-dependency-viewer-api-1  | /app/api/main.py:3773: UserWarning: Field name "schema" in "DependencyItem" shadows an attribute in parent "BaseModel"
table-dependency-viewer-api-1  |   class DependencyItem(BaseModel):
table-dependency-viewer-api-1  | Reg
table-dependency-viewer-api-1  | INFO:     Started server process [1]
table-dependency-viewer-api-1  | INFO:     Waiting for application startup.
table-dependency-viewer-api-1  | META COUNT: 2831
table-dependency-viewer-api-1  | META SAMPLE: ['dds.accidents', 'dds.account_debt_1c', 'dds.account_debt_additional_details_1c', 'dds.account_debt_contracts_1c', 'dds.account_debt_contracts_hfm', 'dds.account_debt_hfm', 'dds.account_debt_sales_documents_1c', 'dds.account_receivables_and_payables_documents', 'dds.accounting_balance', 'dds.accounting_document_and_purchase_contract_relation', 'dds.accounting_document_clearing_relations', 'dds.accounting_document_contracts', 'dds.accounting_document_header', 'dds.accounting_document_header_and_invoice_relation', 'dds.accounting_document_partner_mirror_relation', 'dds.accounting_document_position_correspondence', 'dds.accounting_documents', 'dds.accounting_documents_gl_posting_fi', 'dds.accounting_documents_texts', 'dds.accounting_exchange_rate_revaluation', 'dds.accounting_turnover_counterparty', 'dds.adjustment_request_position', 'dds.advance_payment_requirements_by_purchase_orders', 'dds.aldor_edm_document', 'dds.aldor_scan_copy_link_to_multiple_sap_document', 'dds.aldor_scan_copy_link_to_multiple_sap_document_fs', 'dds.aldor_scan_copy_link_to_single_sap_document', 'dds.aldor_scan_copy_link_to_single_sap_document_fs', 'dds.bank_statement_documents', 'dds.bank_statement_position_clearing_record']
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.youtrack_article depends on api.dag_load_yt_article BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.alarm_accidents depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: ods.tax_accruals_and_payments_aggregated depends on stg.bip_zbw1699m_srv BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.sapxi_web_kaizen_performers depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.sapxi_web_kaizen_states depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.sapxi_web_kaizens depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.sapxi_web_kaizen_authors depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: dm.kpi_indicators_daily_gd depends on ods.alumina_production_xls BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.sapxi_en_plus_personnel_staffing depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.macro_index_rsv_atsenergo depends on api.dag_load_api_atsenergo BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.sapxi_raw_cubal_downtime depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.sapxi_raw_purchase_planning depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.sapxi_en_plus_personnel_turnover depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.asuzdc_ove_dislocation_cargo_group depends on api.new_api_cargo BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.sapxi_1c_personnel_attendance depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.sapxi_raw_cubal_downtimeklass depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.sapxi_reject_product_kubal depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.sapxi_audit_results depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
table-dependency-viewer-api-1  | ❌ BROKEN DEP: stg.sapxi_metal_electrolysis_kubal depends on landing.input_data_from_sapxi_in BUT META NOT FOUND
