fixture_id,match_date,league,market,outcome,odds,ev,won,profit
1208266,2025-02-15 15:00:00,Premier League,1X2,Home,2.23,0.2111162341119534,1,1.23
1208284,2025-02-25 19:30:00,Premier League,1X2,Home,2.1,0.1589418658670915,1,1.1
1208283,2025-02-26 19:30:00,Premier League,1X2,Home,2.01,0.1527906360749866,0,-1.0
1208306,2025-03-15 15:00:00,Premier League,1X2,Home,2.15,0.1469527547263189,0,-1.0
1208316,2025-04-01 19:00:00,Premier League,1X2,Home,2.38,0.2157232392978021,1,1.38
1208320,2025-04-02 18:45:00,Premier League,1X2,Home,1.73,0.0938684771671776,1,0.73
1208333,2025-04-14 19:00:00,Premier League,1X2,Home,2.13,0.2014609500252984,1,1.13
1208311,2025-04-16 18:30:00,Premier League,1X2,Home,1.73,0.1437494330131552,1,0.73
1208358,2025-04-22 19:00:00,Premier League,1X2,Home,1.89,0.1752571334468706,1,0.8899999999999999
1208368,2025-05-05 19:00:00,Premier League,1X2,Home,2.24,0.1769164219552033,0,-1.0
1208390,2025-05-18 14:00:00,Premier League,1X2,Home,2.19,0.1588222008747659,1,1.19
1208383,2025-05-18 15:30:00,Premier League,1X2,Home,1.985,0.1518102479474421,1,0.985
1378972,2025-08-17 13:00:00,Premier League,1X2,Home,2.082,0.1599678545366039,1,1.082
1378980,2025-08-23 14:00:00,Premier League,1X2,Home,1.838,0.1492796918204533,1,0.8379999999999999
1378983,2025-08-24 13:00:00,Premier League,1X2,Home,2.184,0.2022554018844153,0,-1.0
1378995,2025-08-31 13:00:00,Premier League,1X2,Home,1.718,0.1035918958369488,0,-1.0
1379000,2025-09-13 14:00:00,Premier League,1X2,Home,2.3920000000000003,0.2231983239905455,1,1.3920000000000003
1379021,2025-09-27 14:00:00,Premier League,1X2,Home,1.748,0.1562565428876894,0,-1.0
1379041,2025-10-18 14:00:00,Premier League,1X2,Home,2.192,0.1365539546305092,0,-1.0
1379055,2025-10-24 19:00:00,Premier League,1X2,Home,2.05,0.1593700795460526,1,1.0499999999999998
1379056,2025-10-25 16:30:00,Premier League,1X2,Home,2.038,0.1556356141578654,1,1.0379999999999998
1379059,2025-11-01 15:00:00,Premier League,1X2,Home,1.768,0.0938784681710207,1,0.768
1379072,2025-11-09 14:00:00,Premier League,1X2,Home,2.274,0.1743141409090085,0,-1.0
1379107,2025-12-02 20:15:00,Premier League,1X2,Home,1.748,0.1199203307990277,0,-1.0
1379101,2025-12-03 19:30:00,Premier League,1X2,Home,2.274,0.2098268881597378,0,-1.0
1379117,2025-12-06 15:00:00,Premier League,1X2,Home,2.264,0.1821692644639916,1,1.2640000000000002
1379126,2025-12-14 14:00:00,Premier League,1X2,Home,2.3920000000000003,0.2207447640083939,1,1.3920000000000003
1379133,2025-12-22 20:00:00,Premier League,1X2,Home,2.248,0.2180295817135302,1,1.2479999999999998
1379156,2025-12-30 19:30:00,Premier League,1X2,Home,2.3,0.1947583348834831,0,-1.0
1379153,2026-01-01 17:30:00,Premier League,1X2,Home,2.1380000000000003,0.1981213732561428,0,-1.0
1379167,2026-01-04 15:00:00,Premier League,1X2,Home,1.828,0.1744027146431017,0,-1.0
1379165,2026-01-04 17:30:00,Premier League,1X2,Home,1.762,0.1016720425943209,0,-1.0
1379174,2026-01-07 19:30:00,Premier League,1X2,Home,1.782,0.1319228570888804,0,-1.0
1379177,2026-01-07 20:15:00,Premier League,1X2,Home,1.706,0.1586563581934301,1,0.706
1379191,2026-01-25 14:00:00,Premier League,1X2,Home,2.146,0.1994090934640129,0,-1.0
1379203,2026-01-31 20:00:00,Premier League,1X2,Home,1.826,0.1244863067551249,1,0.8259999999999998
1379219,2026-02-11 19:30:00,Premier League,1X2,Home,1.924,0.1537073084941405,1,0.924
1379250,2026-03-03 19:30:00,Premier League,1X2,Home,2.34,0.1427394105666599,0,-1.0
1379262,2026-03-14 17:30:00,Premier League,1X2,Home,1.81,0.1465763103955537,0,-1.0
1379280,2026-04-11 14:00:00,Premier League,1X2,Home,2.208,0.1705921002115962,0,-1.0
1379291,2026-04-18 19:00:00,Premier League,1X2,Home,2.192,0.1282028899571867,0,-1.0
1387700,2025-08-17 13:00:00,Ligue 1,1X2,Draw,3.622,0.0146564143200067,1,2.622
1387707,2025-08-24 15:15:00,Ligue 1,1X2,Draw,3.4799999999999995,0.0048895246130895,0,-1.0
1387708,2025-08-24 18:45:00,Ligue 1,1X2,Draw,3.428,-0.1131298724939368,0,-1.0
1387716,2025-08-31 13:00:00,Ligue 1,1X2,Draw,3.4299999999999997,-0.0465348478084098,1,2.4299999999999997
1387729,2025-09-14 15:15:00,Ligue 1,1X2,Draw,3.4260000000000006,-0.0610177573537752,1,2.4260000000000006
1387732,2025-09-14 18:45:00,Ligue 1,1X2,Draw,3.3880000000000003,-0.1165543809237308,0,-1.0
1387741,2025-09-20 15:00:00,Ligue 1,1X2,Draw,3.3560000000000003,-0.0608137351114508,1,2.3560000000000003
1387735,2025-09-20 17:00:00,Ligue 1,1X2,Draw,3.49,-0.0449535522169641,0,-1.0
1387742,2025-09-21 13:00:00,Ligue 1,1X2,Draw,3.518,-0.0788294667141913,0,-1.0
1387734,2025-09-21 15:15:00,Ligue 1,1X2,Draw,3.348,-0.0484067939154791,0,-1.0
1387736,2025-09-21 15:15:00,Ligue 1,1X2,Draw,3.3620000000000005,-0.1013240532496648,1,2.3620000000000005
1387744,2025-09-28 15:15:00,Ligue 1,1X2,Draw,3.534,0.0015621268808845,0,-1.0
1387743,2025-09-28 15:15:00,Ligue 1,1X2,Draw,3.35,-0.1009607937879536,0,-1.0
1387746,2025-09-28 15:15:00,Ligue 1,1X2,Draw,3.428,-0.1121645917737954,1,2.428
1387749,2025-09-28 18:45:00,Ligue 1,1X2,Draw,3.428,-0.0294080178752694,1,2.428
1387753,2025-10-04 17:00:00,Ligue 1,1X2,Draw,3.696,0.0029190670196654,1,2.696
1387754,2025-10-05 15:15:00,Ligue 1,1X2,Draw,3.4379999999999997,-0.0691499734472942,1,2.4379999999999997
1387782,2025-10-29 18:00:00,Ligue 1,1X2,Draw,3.3920000000000003,-0.0032391992335549,0,-1.0
1387785,2025-10-29 20:05:00,Ligue 1,1X2,Draw,3.428,0.0024198861497988,1,2.428
1387793,2025-11-02 16:15:00,Ligue 1,1X2,Draw,3.5200000000000005,-0.0815805783879194,0,-1.0
1387798,2025-11-08 18:00:00,Ligue 1,1X2,Draw,3.344,-0.0959193830769983,1,2.344
1387799,2025-11-09 14:00:00,Ligue 1,1X2,Draw,3.2299999999999995,-0.1082689127818725,1,2.2299999999999995
1387802,2025-11-09 16:15:00,Ligue 1,1X2,Draw,3.596,-0.0723211503293008,0,-1.0
1387805,2025-11-09 16:15:00,Ligue 1,1X2,Draw,3.4579999999999997,-0.0298689126083865,0,-1.0
1387806,2025-11-23 14:00:00,Ligue 1,1X2,Draw,3.594,-0.1073069859178895,1,2.594
1387820,2025-11-28 19:45:00,Ligue 1,1X2,Draw,3.616,-0.0898135055077122,0,-1.0
1387823,2025-11-30 14:00:00,Ligue 1,1X2,Draw,3.59,-0.0007687670248123,0,-1.0
1387816,2025-11-30 16:15:00,Ligue 1,1X2,Draw,3.5380000000000003,0.0134670175371862,0,-1.0
1387817,2025-11-30 16:15:00,Ligue 1,1X2,Draw,3.376,-0.012171394079944,0,-1.0
1387832,2025-12-06 18:00:00,Ligue 1,1X2,Draw,3.4159999999999995,0.0092299919848251,0,-1.0
1387826,2025-12-07 16:15:00,Ligue 1,1X2,Draw,3.3200000000000003,-0.0325855505736333,1,2.3200000000000003
1387840,2025-12-13 16:00:00,Ligue 1,1X2,Draw,3.708,-0.010800702550431,0,-1.0
1387839,2025-12-13 20:05:00,Ligue 1,1X2,Draw,3.414,-0.1001365265216992,0,-1.0
1387850,2026-01-02 19:45:00,Ligue 1,1X2,Draw,3.3120000000000003,-0.0561236899590154,0,-1.0
1387842,2026-01-04 16:15:00,Ligue 1,1X2,Draw,3.438,-0.0992978186469804,0,-1.0
