season,league,best_bet_type,best_bet_outcome,bet_rating,best_bet_odds,best_bet_ev,home_goals,away_goals
2025,La Liga,TOTAL,Over2.5,Strong,2.0620000000000003,0.2551304347826089,1,0
2025,La Liga,TOTAL,Over2.5,Strong,1.778,0.23371428571428576,0,1
2025,Ligue 1,TOTAL,Over2.5,Weak,1.7420000000000002,0.03310532708316183,0,1
2025,Bundesliga,1X2,Away,Medium,2.06,0.0800913402515524,2,1
2025,Ligue 1,TOTAL,Over2.5,Strong,1.936,0.10149218147655503,0,0
2025,Serie A,TOTAL,Over2.5,Strong,2.396,0.11962616822429895,1,1
2025,Premier League,TOTAL,Over2.5,Strong,1.8379999999999999,0.1846684315932059,4,0
2025,Ligue 1,TOTAL,Over2.5,Strong,1.934,0.13226165312052962,0,0
2025,Premier League,TOTAL,Over2.5,Strong,1.8920000000000001,0.2140038841376395,3,1
2025,Premier League,TOTAL,Over2.5,Strong,1.768,0.14176621753773144,0,0
2025,Ligue 1,TOTAL,Over2.5,Strong,1.932,0.13086738772579976,0,1
2025,Serie A,TOTAL,Over2.5,Strong,2.388,0.11588785046728955,2,1
2025,Ligue 1,TOTAL,Over2.5,Strong,1.94,0.10354531574557013,0,0
2025,Ligue 1,TOTAL,Over2.5,Strong,1.918,0.1485667832412736,3,4
2025,La Liga,TOTAL,Over2.5,Strong,1.9920000000000002,0.3822040816326533,0,1
2025,Ligue 1,TOTAL,Over2.5,Strong,1.8240000000000003,0.11169034680342826,1,1
2025,Ligue 1,TOTAL,Over2.5,Strong,1.996,0.13086501314549848,2,0
2025,Premier League,TOTAL,Over2.5,Strong,1.888,0.5014089008287739,1,1
2025,Ligue 1,TOTAL,Over2.5,Medium,2.208,0.04970331134111916,2,1
2025,Ligue 1,TOTAL,Over2.5,Strong,1.8920000000000001,0.13511566062122515,2,5
2025,Bundesliga,TOTAL,Over2.5,Strong,1.9,0.29576050274413457,3,1
2025,Premier League,TOTAL,Over2.5,Strong,1.796,0.3563076297513126,2,0
2025,Premier League,TOTAL,Over2.5,Strong,1.8399999999999999,0.40200139051324113,1,1
2025,Bundesliga,TOTAL,Over2.5,Strong,1.816,0.16042213780784076,1,1
2025,Ligue 1,TOTAL,Over2.5,Weak,1.69,0.03975588556215115,0,0
2025,Bundesliga,TOTAL,Over2.5,Strong,1.614,0.15095450462705906,3,2
2025,Ligue 1,TOTAL,Over2.5,Weak,1.802,0.02054420382789024,1,4
2025,La Liga,TOTAL,Over2.5,Strong,2.008,0.39330612244897956,3,2
2025,Ligue 1,TOTAL,Over2.5,Weak,1.674,0.03120912366502515,1,0
2025,Ligue 1,TOTAL,Over2.5,Medium,1.7740000000000002,0.08452087023127608,2,2
2025,Serie A,TOTAL,Over2.5,Strong,1.528,0.5279984719999999,1,0
2025,Ligue 1,TOTAL,Over2.5,Strong,1.9240000000000002,0.16617144670308126,0,1
2025,Bundesliga,TOTAL,Over2.5,Strong,1.7099999999999997,0.24663437474171102,1,3
2025,Bundesliga,TOTAL,Over2.5,Strong,1.7879999999999998,0.2625303460097128,3,3
2025,La Liga,TOTAL,Over2.5,Strong,2.026,0.40579591836734674,1,1
2025,Serie A,TOTAL,Over2.5,Strong,2.576,0.20373831775700935,4,0
2025,Ligue 1,TOTAL,Over2.5,Medium,1.842,0.0844190934398934,0,5
2025,Ligue 1,TOTAL,Over2.5,Strong,1.734,0.40998586615757815,2,0
2025,La Liga,TOTAL,Over2.5,Strong,2.075,0.2630434782608697,4,2
2025,La Liga,TOTAL,Over2.5,Strong,2.03,0.2356521739130435,1,0
2025,Premier League,TOTAL,Over2.5,Strong,1.952,0.2542252245327221,3,2
2025,Ligue 1,TOTAL,Over2.5,Strong,1.8379999999999999,0.12024258788831954,2,1
2025,Premier League,TOTAL,Over2.5,Strong,1.966,0.21718760968155015,0,1
2025,Premier League,TOTAL,Over2.5,Strong,1.746,0.1046823728940871,1,2
2025,Premier League,TOTAL,Over2.5,Strong,1.8939999999999997,0.41205965280751533,2,0
2025,La Liga,TOTAL,Over2.5,Strong,2.0999999999999996,0.45714285714285685,2,0
