league,odds_bucket,edge_bucket,draw_risk_bucket,n,roi,profit,hit_rate,avg_ev,avg_edge,avg_odds,calibration_gap
135,2.00-2.40,-0.02-0.02,0.30-0.34,10,0.504,5.04,0.7,-0.041146611860784235,5.217517182458994e-05,2.2123999999999997,-0.2655215317342908
140,2.40-3.20,-0.02-0.02,0.34+,6,0.49933333333333324,2.9959999999999996,0.5,-0.06663815698982241,-0.006794018374345217,2.9983333333333335,-0.1883111103003623
61,4.00+,-0.02-0.02,0.26-0.30,7,0.47971428571428565,3.3579999999999997,0.2857142857142857,-0.04462539431191855,0.0015311486066558288,5.199714285714285,-0.09761422363001959
78,4.00+,0.02-0.05,0.30-0.34,3,0.47666666666666657,1.4299999999999997,0.3333333333333333,0.11927973767277489,0.0332665210467969,4.491333333333333,-0.08279726862143988
39,<1.55,0.05-0.08,0.26-0.30,1,0.4750000000000001,0.4750000000000001,1.0,0.0650385407582134,0.076569231762255,1.475,-0.27793997236731294
78,<1.55,-0.02-0.02,0.22-0.26,3,0.4733333333333332,1.4199999999999997,1.0,-0.04525889772976407,0.0017769480443975661,1.4733333333333334,-0.3513906947956654
39,2.00-2.40,-0.02-0.02,0.30-0.34,9,0.4639999999999999,4.175999999999999,0.6666666666666666,-0.05109709172909645,-0.0002636816489095553,2.1726666666666663,-0.22885162735113418
140,4.00+,<-0.02,0.30-0.34,21,0.45790476190476187,9.616,0.2857142857142857,-0.4003440731796961,-0.077760948460175,4.722761904761905,-0.15835401541666194
78,2.00-2.40,<-0.02,0.26-0.30,6,0.4546666666666666,2.7279999999999998,0.6666666666666666,-0.2944250660559802,-0.10640332129832437,2.227333333333333,-0.34861731344320185
135,2.00-2.40,0.08-0.12,0.30-0.34,6,0.4429999999999999,2.6579999999999995,0.6666666666666666,0.17003300499399718,0.10207216455579056,2.122333333333333,-0.11428731312194518
61,1.70-2.00,-0.02-0.02,0.30-0.34,4,0.4424999999999999,1.7699999999999996,0.75,-0.04654758652737087,0.0030141783188291,1.9229999999999998,-0.25346948876605846
78,4.00+,<-0.02,0.30-0.34,6,0.437,2.622,0.3333333333333333,-0.31657139736505424,-0.064062522685763,4.295,-0.1745376029908878
39,1.70-2.00,<-0.02,0.30-0.34,12,0.43666666666666654,5.239999999999998,0.75,-0.150355863668741,-0.05521673206500096,1.9064999999999996,-0.30375472249953944
135,4.00+,-0.02-0.02,0.34+,6,0.434,2.604,0.3333333333333333,-0.062286389593366714,-0.003677713548562916,4.359,-0.11713074467234288
78,<1.55,0.05-0.08,0.22-0.26,3,0.434,1.302,1.0,0.0487350020867142,0.07274901497857762,1.434,-0.2675602403080696
39,4.00+,0.02-0.05,<=0.22,9,0.43333333333333335,3.9000000000000004,0.1111111111111111,0.512226870831212,0.031368721360785404,17.664444444444445,-0.022439698620868864
61,2.40-3.20,0.05-0.08,0.34+,6,0.432,2.592,0.5,0.13814849008958144,0.06716708486354613,2.812333333333333,-0.09218086080396964
78,2.40-3.20,-0.02-0.02,0.34+,8,0.4297499999999999,3.4379999999999993,0.5,-0.043784693134758114,-0.000199827487738525,2.884,-0.1662739585220417
78,<1.55,<-0.02,0.26-0.30,1,0.4199999999999999,0.4199999999999999,1.0,-0.113788991383501,-0.045855785256418,1.42,-0.37590774041091624
78,2.00-2.40,0.05-0.08,0.30-0.34,3,0.41133333333333333,1.234,0.6666666666666666,0.07571916601660837,0.06127400333096436,2.0793333333333335,-0.14895452592636782
135,1.70-2.00,0.08-0.12,0.26-0.30,5,0.40359999999999996,2.018,0.8,0.14295470957289452,0.1035926540743269,1.7644000000000002,-0.15230246395151603
135,3.20-4.00,0.02-0.05,0.34+,13,0.38107692307692315,4.954000000000001,0.38461538461538464,0.07512569430849934,0.03205716980842624,3.513230769230769,-0.07761854488155306
135,<1.55,-0.02-0.02,0.22-0.26,6,0.36333333333333334,2.18,1.0,-0.04960889616499035,-0.006540840229915183,1.3633333333333333,-0.30178076183969216
61,2.40-3.20,0.05-0.08,0.30-0.34,4,0.36150000000000015,1.4460000000000006,0.5,0.12313733440706787,0.06414520561199105,2.6965,-0.08280321970598237
78,2.40-3.20,0.02-0.05,0.34+,6,0.3466666666666667,2.08,0.5,0.039308449076980834,0.03351473167203132,2.757,-0.12080641606949255
135,2.40-3.20,0.02-0.05,0.30-0.34,10,0.3396,3.396,0.5,0.04149625919224199,0.033682389608688364,2.6838,-0.10866393905537741
78,2.00-2.40,<-0.02,0.34+,5,0.33840000000000003,1.6920000000000002,0.6,-0.23433574237067356,-0.08254495948989185,2.2816,-0.2639595398794352
78,<1.55,0.08-0.12,<=0.22,3,0.326,0.978,1.0,0.0826023385654964,0.1058972229027973,1.326,-0.1835819336950988
140,2.00-2.40,-0.02-0.02,0.30-0.34,5,0.3179999999999999,1.5899999999999994,0.6,-0.046470442364141586,-0.006919915024287899,2.1824,-0.16167859089160874
39,3.20-4.00,<-0.02,0.34+,52,0.3179230769230769,16.532,0.36538461538461536,-0.26730234284929305,-0.06161752096946356,3.5572307692307694,-0.15863122417205344
39,<1.55,-0.02-0.02,0.22-0.26,4,0.31100000000000005,1.2440000000000002,1.0,-0.06384863985023873,-0.0035545049220021756,1.3110000000000002,-0.28525812449005306
135,2.40-3.20,0.08-0.12,0.30-0.34,2,0.31000000000000005,0.6200000000000001,0.5,0.21495699047208072,0.10045806767793505,2.51,-0.015585840445316301
78,1.70-2.00,0.02-0.05,0.26-0.30,7,0.3074285714285714,2.1519999999999997,0.7142857142857143,0.01679437248016293,0.03426072749712713,1.8559999999999999,-0.165443024614093
61,<1.55,-0.02-0.02,0.22-0.26,2,0.306,0.612,1.0,-0.0604092637680175,-0.0044239438511453,1.306,-0.28049710438387354
78,2.40-3.20,0.08-0.12,0.34+,9,0.305111111111111,2.745999999999999,0.4444444444444444,0.26019627747033897,0.10332928440441985,2.994222222222222,-0.022549624986781702
135,<1.55,<-0.02,0.22-0.26,2,0.30499999999999994,0.6099999999999999,1.0,-0.12112355253841191,-0.0449137877328097,1.305,-0.32485466431284404
135,1.55-1.70,0.02-0.05,0.26-0.30,11,0.30109090909090913,3.3120000000000003,0.8181818181818182,0.013916744965555072,0.03373896018193614,1.5949090909090906,-0.1822509188906114
78,4.00+,<-0.02,0.26-0.30,30,0.2796666666666667,8.39,0.26666666666666666,-0.4115680348368201,-0.07867162201034887,4.742866666666667,-0.14108284697418802
78,<1.55,-0.02-0.02,<=0.22,1,0.276,0.276,1.0,-0.0216923997461969,0.0164807865149628,1.276,-0.2333012537195901
140,4.00+,<-0.02,0.22-0.26,23,0.2652173913043478,6.1,0.13043478260869565,-0.39721502470137227,-0.04329849644159561,8.603565217391305,-0.05927986378555988
78,4.00+,-0.02-0.02,0.26-0.30,7,0.2571428571428571,1.7999999999999998,0.2857142857142857,-0.09476631634322612,-0.009416310674468015,5.412999999999999,-0.11406429377716515
39,2.40-3.20,0.02-0.05,0.30-0.34,2,0.2549999999999999,0.5099999999999998,0.5,0.024643090572722497,0.036591698630200745,2.48,-0.08690373984509203
78,<1.55,<-0.02,<=0.22,1,0.25,0.25,1.0,-0.0777783289281144,-0.0213467507337322,1.25,-0.26222266314249154
135,<1.55,<-0.02,<=0.22,1,0.24,0.24,1.0,-0.1126229074359385,-0.0768163744636791,1.24,-0.2843733124483375
78,2.40-3.20,0.08-0.12,0.30-0.34,2,0.22699999999999976,0.4539999999999995,0.5,0.23930647419759649,0.11183967903148145,2.6149999999999998,-0.02484164325876459
135,1.70-2.00,-0.02-0.02,0.30-0.34,12,0.2228333333333333,2.6739999999999995,0.6666666666666666,-0.029857431341167102,0.006136020999194202,1.86,-0.14402133303806786
78,4.00+,<-0.02,0.34+,14,0.2198571428571429,3.0780000000000003,0.2857142857142857,-0.4258905856164074,-0.09063238777920658,4.295999999999999,-0.15076912965733774
39,1.55-1.70,-0.02-0.02,0.26-0.30,8,0.2185,1.748,0.75,-0.05931952601822926,-0.0047505488748246,1.637,-0.17512504664180661
135,4.00+,<-0.02,0.26-0.30,62,0.2140967741935484,13.274000000000001,0.20967741935483872,-0.3757815858215907,-0.05560420300633148,5.9835161290322585,-0.10154310910036016
140,1.70-2.00,<-0.02,0.30-0.34,8,0.21000000000000002,1.6800000000000002,0.625,-0.1859052897280466,-0.077477866419466,1.91125,-0.1985638281516633
135,1.55-1.70,<-0.02,0.26-0.30,4,0.20550000000000002,0.8220000000000001,0.75,-0.10933466406103495,-0.03359378993887127,1.6244999999999998,-0.20137361493046335
61,2.40-3.20,0.02-0.05,0.34+,2,0.19999999999999996,0.3999999999999999,0.5,0.0583630808565894,0.04202251892446015,2.6559999999999997,-0.09834101712591403
39,<1.55,0.02-0.05,<=0.22,1,0.1999999999999999,0.1999999999999999,1.0,-0.0231692476381158,0.0308930968477547,1.2,-0.18597437303176323
140,2.00-2.40,<-0.02,0.34+,2,0.18999999999999995,0.3799999999999999,0.5,-0.26041364408033346,-0.09233395896810614,2.261,-0.17043616001484707
39,1.55-1.70,<-0.02,0.26-0.30,15,0.18306666666666666,2.746,0.7333333333333333,-0.14485638106055282,-0.05524826470218644,1.621333333333333,-0.20521371960122914
78,3.20-4.00,<-0.02,0.26-0.30,9,0.18111111111111114,1.6300000000000003,0.3333333333333333,-0.4960387706539076,-0.12650933420023872,3.6197777777777773,-0.1930210824868577
39,4.00+,<-0.02,0.26-0.30,56,0.17964285714285713,10.059999999999999,0.23214285714285715,-0.2660301020756818,-0.0431750647467863,5.137535714285714,-0.08755410792990931
135,1.70-2.00,<-0.02,0.30-0.34,5,0.17959999999999998,0.8979999999999999,0.6,-0.12026250168774774,-0.044059853646753584,1.9696000000000002,-0.15337581892859775
39,4.00+,<-0.02,0.22-0.26,16,0.15975,2.556,0.1875,-0.27985747417994467,-0.035124554366613735,6.5204375,-0.07544480437710588
61,2.00-2.40,0.08-0.12,0.30-0.34,6,0.15933333333333333,0.956,0.5,0.1927841894460061,0.10775995383284664,2.2870000000000004,0.021986059392169577
135,1.70-2.00,0.02-0.05,0.30-0.34,8,0.15200000000000014,1.216000000000001,0.625,0.016112503788895775,0.03330552641360966,1.86775,-0.0802182254320305
140,<1.55,<-0.02,<=0.22,1,0.1499999999999999,0.1499999999999999,1.0,-0.1677295167576694,-0.0956788203670087,1.15,-0.27628653631101685
61,2.00-2.40,0.02-0.05,0.30-0.34,4,0.14349999999999996,0.5739999999999998,0.5,0.014781242848468525,0.029846453807646424,2.2096428571428572,-0.03968187175751847
78,2.00-2.40,0.05-0.08,0.26-0.30,2,0.1419999999999999,0.2839999999999998,0.5,0.0714558167095595,0.055881141304357854,2.173,-0.005870433635779271
61,3.20-4.00,<-0.02,0.34+,9,0.1411111111111111,1.27,0.3333333333333333,-0.26169766742974127,-0.06067141649074169,3.5586666666666664,-0.12530970785814782
61,2.40-3.20,-0.02-0.02,0.34+,5,0.13920000000000005,0.6960000000000002,0.4,-0.05436991194616534,-0.00074423768196448,2.8848,-0.07085218370994889
39,2.00-2.40,-0.02-0.02,0.34+,2,0.125,0.25,0.5,-0.07421071852993011,-0.0066436095930645,2.275,-0.09306167286385236
78,1.55-1.70,<-0.02,0.26-0.30,3,0.12466666666666655,0.37399999999999967,0.6666666666666666,-0.1464219227031259,-0.055505831929026396,1.6893333333333331,-0.1615587632976172
140,2.00-2.40,0.02-0.05,0.30-0.34,4,0.11050000000000004,0.44200000000000017,0.5,0.0098439964402278,0.026925567217068676,2.181,-0.03678816451143052
78,1.55-1.70,0.02-0.05,0.26-0.30,3,0.10400000000000002,0.31200000000000006,0.6666666666666666,0.000133526244892166,0.031063556247400464,1.6306666666666667,-0.05288335431811897
39,<1.55,0.02-0.05,0.22-0.26,5,0.10399999999999995,0.5199999999999998,0.8,-0.0008460306500845799,0.0398170574175365,1.3636,-0.06651767796679975
78,2.00-2.40,-0.02-0.02,0.30-0.34,6,0.10033333333333339,0.6020000000000003,0.5,-0.053902495754753234,-0.001420683484991683,2.241,-0.07664433321241787
39,1.55-1.70,0.02-0.05,0.26-0.30,3,0.09799999999999993,0.2939999999999998,0.6666666666666666,0.005656594140037333,0.03824152484683943,1.6346666666666667,-0.0513338699684065
140,4.00+,<-0.02,0.34+,32,0.08812500000000001,2.8200000000000003,0.25,-0.3229289115432157,-0.06150093637791956,4.663124999999999,-0.10258786531763536
