league,outcome,odds_bucket,edge_bucket,prob_bucket,n,wins,hit_rate,avg_odds,avg_p_model,avg_p_market,avg_ev,actual_win_rate,calibration_gap,profit,roi,model_logloss,market_logloss,model_minus_market_logloss
Bundesliga,Under2.5,1.70-2.00,0.08-0.12,0.60-0.65,7.0,4.0,0.5714285714285714,1.8591428571428572,0.6213466707762946,0.5203597364398875,0.15471493710838505,0.5714285714285714,0.04991809934772318,0.3600000000000001,0.05142857142857144,0.6758494883455627,0.669598958935546,0.006250529410016692
Bundesliga,Under2.5,1.70-2.00,0.08-0.12,0.65+,1.0,1.0,1.0,1.762,0.6502264643036653,0.5413846954711087,0.1456990301030583,1.0,-0.34977353569633474,0.762,0.762,0.4304345701509239,0.6136251706331385,-0.18319060048221458
Bundesliga,Under2.5,1.70-2.00,0.12+,0.60-0.65,5.0,4.0,0.8,1.9546,0.6204146522638037,0.4879287935328137,0.21241008498307373,0.8,-0.1795853477361964,2.7749999999999995,0.5549999999999999,0.5712880495759993,0.7030577857041995,-0.1317697361282002
Bundesliga,Under2.5,1.70-2.00,0.12+,0.65+,15.0,15.0,1.0,1.856,0.7792690504379369,0.5221500223746008,0.44525819658921,1.0,-0.22073094956206307,12.84,0.856,0.24966727198154848,0.651721639914763,-0.4020543679332145
Bundesliga,Under2.5,1.70-2.00,<0.02,0.50-0.52,5.0,5.0,1.0,1.9327999999999999,0.5100584395778185,0.4965623154813589,-0.014191313916101378,1.0,-0.4899415604221815,4.664,0.9328,0.6732914067778752,0.7000603525926111,-0.02676894581473588
Bundesliga,Under2.5,2.00-2.40,0.02-0.05,0.50-0.52,2.0,1.0,0.5,2.01,0.512174165454812,0.4769668916503256,0.029461990744024225,0.5,0.01217416545481198,0.008000000000000007,0.0040000000000000036,0.6853896153740515,0.6967155644327974,-0.011325949058745843
Bundesliga,Under2.5,2.00-2.40,0.05-0.08,0.50-0.52,4.0,0.0,0.0,2.1502499999999998,0.5093819711789858,0.44399218262676965,0.09524395992009987,0.0,0.5093819711789858,-4.0,-1.0,0.7121234713286503,0.5870453012225343,0.125078170106116
Bundesliga,Under2.5,2.00-2.40,0.05-0.08,0.52-0.56,1.0,0.0,0.0,2.116,0.5231994762799692,0.4501039501039501,0.107090091808415,0.0,0.5231994762799692,-1.0,-1.0,0.7406570648254954,0.5980260188074071,0.1426310460180883
Bundesliga,Under2.5,2.00-2.40,0.08-0.12,0.52-0.56,2.0,1.0,0.5,2.181,0.5374045672061546,0.437604263748984,0.17210517524642344,0.5,0.03740456720615459,0.19799999999999995,0.09899999999999998,0.6929038703456791,0.7069727871350118,-0.014068916789332642
Bundesliga,Under2.5,2.00-2.40,0.12+,0.56-0.60,2.0,2.0,1.0,2.175,0.5931488347053527,0.43287210172026924,0.2900557086467742,1.0,-0.40685116529464727,2.35,1.175,0.5223141311750941,0.8373623282885119,-0.3150481971134178
Bundesliga,Under2.5,2.00-2.40,0.12+,0.60-0.65,2.0,0.0,0.0,2.181,0.6200452724894685,0.4367266554911879,0.35220745115708796,0.0,0.6200452724894685,-2.0,-1.0,0.9685793416663078,0.5739916321739233,0.3945877094923844
