league,outcome,odds_bucket,edge_bucket,draw_risk_bucket,n,model_logloss,market_logloss,model_minus_market_logloss,avg_p_model,actual_win_rate,avg_p_market,calibration_gap,avg_edge,avg_ev,avg_odds,roi,profit,hit_rate,clv,status
135,Home,1.70-2.00,-0.02-0.02,0.30-0.34,11,0.7115430241612399,0.7138188787405549,-0.0022758545793150065,0.5140062513573613,0.45454545454545453,0.5125800926535252,0.0594607968119068,0.001426158703835985,-0.03155345577022282,1.8876363636363633,-0.12745454545454546,-1.402,0.45454545454545453,,BLOCKED
61,Home,<1.55,<-0.02,<=0.22,11,0.5577695637217001,0.5374892876656756,0.02028027605602445,0.6675931055282397,0.7272727272727273,0.7814206035302664,-0.0596796217444876,-0.11382749800202685,-0.18858520406897597,1.219090909090909,-0.1289090909090909,-1.4179999999999997,0.7272727272727273,,BLOCKED
78,Draw,4.00+,<-0.02,<=0.22,14,0.441956716829281,0.43226378983106384,0.009692926998217166,0.12125338395903369,0.14285714285714285,0.17369194770458596,-0.021603758898109157,-0.05243856374555233,-0.3468685549745727,5.5600000000000005,-0.13142857142857142,-1.8399999999999999,0.14285714285714285,,BLOCKED
135,Home,1.70-2.00,<-0.02,0.34+,13,0.7049526651929543,0.6973757003666545,0.00757696482629977,0.43261133140779356,0.46153846153846156,0.5122849272513518,-0.028927130130668,-0.07967359584355818,-0.19041184959380864,1.8778461538461537,-0.13384615384615378,-1.739999999999999,0.46153846153846156,,BLOCKED
61,Home,2.40-3.20,-0.02-0.02,0.34+,3,0.5974437004335855,0.609251389052768,-0.011807688619182466,0.3449641260026002,0.3333333333333333,0.34352395585662726,0.011630792669266865,0.0014401701459728633,-0.05029667895254105,2.765333333333333,-0.13466666666666663,-0.4039999999999999,0.3333333333333333,,BLOCKED
78,Home,1.70-2.00,0.05-0.08,0.26-0.30,4,0.6680921123210883,0.6530169654016368,0.015075146919451554,0.5964233179294757,0.5,0.5378186549619087,0.09642331792947567,0.058604662967566945,0.07294654960635955,1.803,-0.135,-0.54,0.5,,BLOCKED
39,Home,<1.55,0.05-0.08,0.26-0.30,7,0.7061523642003482,0.694831712619327,0.011320651581021246,0.6962730662493998,0.5714285714285714,0.6294221161359743,0.12484449482082838,0.06685095011342546,0.04271226602946088,1.497714285714286,-0.13942857142857143,-0.976,0.5714285714285714,,BLOCKED
61,Away,1.70-2.00,0.08-0.12,0.26-0.30,2,0.6916595726287548,0.6576117789490648,0.03404779367969002,0.620393978349311,0.5,0.5327514767780507,0.12039397834931098,0.0876425015712603,0.10273499316639212,1.779,-0.14200000000000002,-0.28400000000000003,0.5,,BLOCKED
135,Away,2.00-2.40,<-0.02,0.30-0.34,8,0.6707647090677723,0.6791037763968791,-0.00833906732910683,0.3777525243302908,0.375,0.42242642455222273,0.002752524330290773,-0.04467390022193198,-0.15109919218182222,2.2525,-0.14549999999999996,-1.1639999999999997,0.375,,BLOCKED
140,Draw,3.20-4.00,0.05-0.08,0.30-0.34,4,0.5763107919632169,0.5610897042835499,0.015221087679667011,0.33379258447920657,0.25,0.2762593409177682,0.08379258447920657,0.057533243561438366,0.17057499486891647,3.51,-0.14850000000000008,-0.5940000000000003,0.25,,BLOCKED
140,Home,2.40-3.20,0.02-0.05,0.30-0.34,6,0.6278587133973607,0.6216948511167889,0.0061638622805717524,0.3968323936488282,0.3333333333333333,0.3596637707487698,0.0634990603154949,0.03716862290005838,0.05407907595935305,2.675333333333333,-0.15033333333333343,-0.9020000000000006,0.3333333333333333,,BLOCKED
39,Home,4.00+,0.02-0.05,0.26-0.30,16,0.45579799781547037,0.45274795453836253,0.003050043277107839,0.21660866872440138,0.1875,0.18568054388775612,0.029108668724401376,0.030928124836645247,0.10646305096116646,5.251875,-0.15049999999999997,-2.4079999999999995,0.1875,,BLOCKED
140,Away,4.00+,<-0.02,0.26-0.30,45,0.45477223959910634,0.43354469109374555,0.021227548505360794,0.10827510621422338,0.15555555555555556,0.1744386430212015,-0.04728044934133217,-0.06616353680697808,-0.40118034181069123,5.632933333333333,-0.15053333333333332,-6.774,0.15555555555555556,,BLOCKED
78,Away,2.40-3.20,0.02-0.05,0.30-0.34,6,0.6149037509884837,0.6162959689526772,-0.0013922179641935317,0.3854359200915982,0.3333333333333333,0.3569284967681506,0.0521025867582649,0.028507423323447606,0.019155920646846736,2.656333333333333,-0.15100000000000002,-0.9060000000000001,0.3333333333333333,,BLOCKED
39,Home,4.00+,<-0.02,0.26-0.30,10,0.4639317824814496,0.46701901975827936,-0.0030872372768297462,0.16099413755181974,0.2,0.19428531345413438,-0.03900586244818027,-0.03329117590231465,-0.21896169374288696,4.9599,-0.15140000000000003,-1.5140000000000002,0.2,,BLOCKED
