match_id,datetime,isResult,home_id,home_team,away_id,away_team,goals_h,goals_a,xg_h,xg_a,forecast_w,forecast_d,forecast_l
29052,2026-03-01 14:00:00,True,228,Fulham,82,Tottenham,2,1,2.3207,0.952091,0.7069,0.1828,0.1103
29055,2026-03-01 14:00:00,True,89,Manchester United,78,Crystal Palace,2,1,2.34609,0.384699,0.8774,0.1001,0.0225
29049,2026-03-01 16:30:00,True,83,Arsenal,80,Chelsea,2,1,1.71598,1.35268,0.4449,0.2926,0.2625
29063,2026-03-03 19:30:00,True,245,Leeds,77,Sunderland,0,1,0.888232,0.843856,0.2954,0.3643,0.3403
29061,2026-03-03 19:30:00,True,72,Everton,92,Burnley,2,0,1.15845,0.762229,0.4352,0.3436,0.2212
29058,2026-03-03 19:30:00,True,73,Bournemouth,244,Brentford,0,0,2.3177,0.673328,0.7902,0.1515,0.0583
29067,2026-03-03 20:15:00,True,229,Wolverhampton Wanderers,87,Liverpool,2,1,0.636033,2.17217,0.0584,0.166,0.7756
29059,2026-03-04 19:30:00,True,71,Aston Villa,80,Chelsea,1,4,1.06854,3.38883,0.0343,0.0834,0.8823
29060,2026-03-04 19:30:00,True,220,Brighton,83,Arsenal,0,1,0.919228,0.514803,0.4417,0.3688,0.1895
29062,2026-03-04 19:30:00,True,228,Fulham,81,West Ham,0,1,0.628123,1.49528,0.126,0.2422,0.6318
29064,2026-03-04 19:30:00,True,88,Manchester City,249,Nottingham Forest,2,2,2.72655,1.23642,0.7332,0.1652,0.1016
29065,2026-03-04 20:15:00,True,86,Newcastle United,89,Manchester United,2,1,1.96637,1.80571,0.4273,0.2544,0.3183
29066,2026-03-05 20:00:00,True,82,Tottenham,78,Crystal Palace,1,3,1.29615,1.91515,0.2054,0.2575,0.5371
29077,2026-03-14 12:30:00,False,81,West Ham,88,Manchester City,,,,,,,
29070,2026-03-14 15:00:00,False,92,Burnley,73,Bournemouth,,,,,,,
29072,2026-03-14 15:00:00,False,78,Crystal Palace,245,Leeds,,,,,,,
29076,2026-03-14 15:00:00,False,77,Sunderland,220,Brighton,,,,,,,
29071,2026-03-14 17:30:00,False,80,Chelsea,86,Newcastle United,,,,,,,
29068,2026-03-15 14:00:00,False,83,Arsenal,72,Everton,,,,,,,
29074,2026-03-15 14:00:00,False,89,Manchester United,71,Aston Villa,,,,,,,
29075,2026-03-15 14:00:00,False,249,Nottingham Forest,228,Fulham,,,,,,,
29073,2026-03-15 16:30:00,False,87,Liverpool,82,Tottenham,,,,,,,
29069,2026-03-16 20:00:00,False,244,Brentford,229,Wolverhampton Wanderers,,,,,,,
29078,2026-03-20 20:00:00,False,73,Bournemouth,89,Manchester United,,,,,,,
29080,2026-03-21 12:30:00,False,220,Brighton,87,Liverpool,,,,,,,
29082,2026-03-21 15:00:00,False,228,Fulham,92,Burnley,,,,,,,
29084,2026-03-21 15:00:00,False,88,Manchester City,78,Crystal Palace,,,,,,,
29081,2026-03-21 17:30:00,False,72,Everton,80,Chelsea,,,,,,,
29083,2026-03-21 20:00:00,False,245,Leeds,244,Brentford,,,,,,,
29085,2026-03-22 12:00:00,False,86,Newcastle United,77,Sunderland,,,,,,,
29086,2026-03-22 14:15:00,False,82,Tottenham,249,Nottingham Forest,,,,,,,
29079,2026-03-22 14:15:00,False,71,Aston Villa,81,West Ham,,,,,,,
29088,2026-04-11 15:00:00,False,89,Manchester United,245,Leeds,,,,,,,
29089,2026-04-11 15:00:00,False,249,Nottingham Forest,71,Aston Villa,,,,,,,
29090,2026-04-11 15:00:00,False,77,Sunderland,82,Tottenham,,,,,,,
29091,2026-04-11 15:00:00,False,81,West Ham,229,Wolverhampton Wanderers,,,,,,,
29092,2026-04-11 15:00:00,False,83,Arsenal,73,Bournemouth,,,,,,,
29093,2026-04-11 15:00:00,False,244,Brentford,72,Everton,,,,,,,
29094,2026-04-11 15:00:00,False,92,Burnley,220,Brighton,,,,,,,
29095,2026-04-11 15:00:00,False,80,Chelsea,88,Manchester City,,,,,,,
29096,2026-04-11 15:00:00,False,78,Crystal Palace,86,Newcastle United,,,,,,,
29097,2026-04-11 15:00:00,False,87,Liverpool,228,Fulham,,,,,,,
29107,2026-04-18 15:00:00,False,82,Tottenham,220,Brighton,,,,,,,
