feature,gain,weight,cover
delta_inj_total_cnt,3.0737903118133545,5.0,268.0772399902344
away_sot_rate_home_mean_5,3.0670721530914307,5.0,226.6400909423828
away_sot_rate_slope_5,3.040109395980835,11.0,212.28672790527344
away_goals_for_ema_5,3.0371804237365723,4.0,145.4054718017578
home_goals_for_away_sum_3,3.0261013507843018,3.0,84.83995819091797
home_expected_goals_away_sum_3,3.013549327850342,2.0,64.25975036621094
home_expected_goals_home_sum_3,3.013364791870117,2.0,141.99098205566406
delta_points_mean_5,3.0058441162109375,4.0,193.01812744140625
away_goals_against_ema_5,3.0008296966552734,14.0,250.5777130126953
away_days_since,2.9983232021331787,10.0,239.52633666992188
rel_goals_for_mean_5_ratio,2.9780054092407227,8.0,320.5375671386719
away_goals_against_std_5,2.975687026977539,2.0,174.55474853515625
home_sot_rate_away_std_5,2.974172353744507,22.0,191.99476623535156
home_tempo_mean_5,2.9728920459747314,8.0,257.4679260253906
home_xg_per_shot_away_sum_3,2.9672439098358154,2.0,207.47039794921875
away_expected_goals_home_sum_3,2.9657177925109863,2.0,250.00643920898438
home_expected_goals_std_5,2.962813377380371,2.0,77.47789001464844
home_points_away_ema_5,2.956392526626587,7.0,235.5715789794922
away_sot_rate_home_sum_3,2.950540065765381,9.0,262.3392639160156
away_sot_rate_std_5,2.9402806758880615,16.0,177.99786376953125
sum_goals_for_sum_3,2.939899444580078,2.0,61.404144287109375
home_sot_rate_home_mean_5,2.9340810775756836,13.0,154.90435791015625
away_goals_for_away_ema_5,2.933084487915039,14.0,210.39315795898438
home_xg_per_shot_std_5,2.921377182006836,7.0,209.7963409423828
away_goals_for_away_sum_3,2.918020725250244,2.0,81.7806396484375
rel_expected_goals_mean_5_ratio,2.9153175354003906,2.0,130.30029296875
sum_goals_for_std_5,2.90838623046875,18.0,246.42840576171875
home_tempo_away_std_5,2.9061458110809326,15.0,179.8747100830078
h2h_drawrate_lastN,2.897390365600586,2.0,80.21031951904297
away_sot_rate_ema_5,2.8954427242279053,7.0,101.8793716430664
away_xg_per_shot_sum_3,2.8913707733154297,7.0,81.02459716796875
away_goals_against_away_ema_5,2.8727731704711914,17.0,116.80914306640625
home_goals_for_away_mean_5,2.870131254196167,7.0,360.88446044921875
away_sot_rate_away_std_5,2.869666576385498,16.0,215.1006317138672
away_points_home_ema_5,2.837207794189453,11.0,185.4828643798828
away_expected_goals_ema_5,2.831099033355713,2.0,221.15577697753906
away_tempo_away_sum_3,2.8296585083007812,12.0,110.14395904541016
home_xg_per_shot_home_ema_5,2.8242270946502686,3.0,195.1733856201172
home_sot_rate_away_ema_5,2.8203938007354736,7.0,147.06369018554688
home_sot_rate_home_sum_3,2.814607620239258,6.0,80.8090591430664
home_sot_rate_std_5,2.813911199569702,11.0,173.84286499023438
home_expected_goals_away_ema_5,2.81103515625,4.0,265.7525329589844
home_goals_for_ema_5,2.8018438816070557,4.0,210.24969482421875
home_tempo_home_mean_5,2.797192335128784,4.0,133.37156677246094
away_points_home_mean_5,2.7963290214538574,2.0,253.545166015625
away_expected_goals_away_sum_3,2.7953619956970215,7.0,257.18218994140625
away_sot_rate_away_sum_3,2.795276403427124,4.0,183.45347595214844
home_tempo_home_std_5,2.7908034324645996,11.0,209.964111328125
home_xg_per_shot_away_std_5,2.766684055328369,5.0,277.8729248046875
away_sot_rate_away_ema_5,2.7481467723846436,7.0,166.86532592773438
home_xg_per_shot_home_std_5,2.7428596019744873,10.0,313.86993408203125
home_goals_against_away_ema_5,2.7384467124938965,10.0,121.6862564086914
h2h_games_cnt,2.723954916000366,2.0,285.57562255859375
sum_expected_goals_ema_5,2.7227258682250977,4.0,308.4976501464844
sum_points_sum_3,2.721503257751465,3.0,72.58554077148438
home_expected_goals_away_std_5,2.700139284133911,7.0,153.4084014892578
h2h_goals_avg_lastN,2.696896553039551,11.0,123.96859741210938
away_xg_per_shot_away_std_5,2.6968517303466797,10.0,240.3516082763672
home_goals_against_home_ema_5,2.6966962814331055,5.0,181.9751434326172
away_goals_against_home_mean_5,2.684384346008301,2.0,119.39247131347656
home_goals_for_std_5,2.6820952892303467,4.0,294.7254638671875
home_expected_goals_away_mean_5,2.664381265640259,2.0,83.23497009277344
home_goals_for_away_ema_5,2.6606526374816895,5.0,125.4462890625
h2h_drawrate_centered,2.6573965549468994,7.0,125.8997802734375
away_xg_per_shot_home_std_5,2.654174327850342,1.0,297.6163635253906
away_xg_per_shot_home_sum_3,2.6221437454223633,6.0,168.4729766845703
home_goals_for_slope_5,2.6208229064941406,5.0,72.61918640136719
sum_points_ema_5,2.610651969909668,6.0,105.67218780517578
home_tempo_away_ema_5,2.605058431625366,10.0,164.21963500976562
delta_sot_rate_mean_5,2.593520164489746,2.0,87.4719467163086
home_goals_against_away_sum_3,2.5747172832489014,1.0,340.8775634765625
abs_delta_sot_rate_mean_5,2.5723297595977783,2.0,40.61688232421875
home_goals_for_home_mean_5,2.5723094940185547,3.0,201.0134735107422
delta_matches_7d,2.5654828548431396,3.0,357.0526123046875
league_draw_prior,2.5522422790527344,10.0,121.33646392822266
home_goals_against_away_std_5,2.542185068130493,3.0,144.3184356689453
away_sot_rate_home_ema_5,2.5406744480133057,12.0,164.80616760253906
rel_goals_for_sum_3_ratio,2.518219470977783,4.0,53.76411437988281
away_sot_rate_home_std_5,2.5159592628479004,4.0,103.40975189208984
home_tempo_home_sum_3,2.508939504623413,3.0,44.49343490600586
delta_matches_14d,2.480815887451172,2.0,256.68896484375
home_sot_rate_home_ema_5,2.4806196689605713,3.0,158.62669372558594
away_expected_goals_home_std_5,2.47607159614563,6.0,83.9852066040039
home_inj_total_cnt,2.475978136062622,2.0,213.7803192138672
