feature,gain,weight,cover
home_tempo_away_std_5,4.903323650360107,39.0,481.7296142578125
away_sot_rate_away_sum_3,4.899666786193848,26.0,521.7396850585938
away_tempo_sum_3,4.894442558288574,25.0,540.381591796875
home_tempo_away_sum_3,4.884103298187256,19.0,167.3451385498047
sum_goals_for_sum_3,4.882200717926025,11.0,424.11151123046875
away_goals_for_slope_5,4.8681206703186035,15.0,232.3092803955078
away_goals_for_ema_5,4.864958763122559,29.0,393.84442138671875
delta_tempo_slope_5,4.858423709869385,27.0,268.8876647949219
rel_goals_for_sum_3_diff,4.857841491699219,7.0,279.90228271484375
away_points_away_ema_5,4.855125904083252,33.0,492.1280212402344
home_goals_for_std_5,4.855072498321533,20.0,579.52294921875
home_xg_per_shot_away_mean_5,4.853911399841309,10.0,538.2938842773438
away_sot_rate_away_ema_5,4.853609561920166,20.0,290.6974792480469
home_goals_against_home_ema_5,4.85269021987915,32.0,322.46435546875
sum_points_ema_5,4.847898006439209,16.0,305.7197570800781
home_sot_rate_away_std_5,4.83563232421875,48.0,340.1505432128906
home_sot_rate_away_sum_3,4.8294219970703125,24.0,292.8791198730469
home_xg_per_shot_sum_3,4.828563690185547,23.0,402.7755126953125
away_tempo_home_ema_5,4.827223300933838,25.0,347.11688232421875
home_tempo_home_sum_3,4.825770378112793,20.0,225.5944366455078
home_points_home_mean_5,4.815861701965332,3.0,49.292781829833984
delta_inj_questionable_cnt,4.811509132385254,5.0,355.16961669921875
away_tempo_ema_5,4.806146621704102,25.0,369.0316467285156
home_expected_goals_away_std_5,4.79937219619751,16.0,347.3054504394531
away_expected_goals_away_mean_5,4.786401271820068,8.0,359.6963195800781
away_points_home_mean_5,4.782897472381592,4.0,496.220458984375
h2h_games_cnt,4.781275272369385,6.0,209.77606201171875
away_goals_for_away_mean_5,4.7773756980896,12.0,468.2196960449219
rel_sot_rate_mean_5_diff,4.771687030792236,4.0,623.303955078125
away_tempo_away_std_5,4.76930046081543,16.0,217.72732543945312
away_sot_rate_mean_5,4.761213302612305,24.0,415.4303283691406
delta_inj_total_cnt,4.757451057434082,12.0,677.7080688476562
rel_points_mean_5_ratio,4.756133079528809,16.0,358.3480529785156
away_sot_rate_home_ema_5,4.755589008331299,59.0,396.7083435058594
home_xg_per_shot_std_5,4.737931251525879,42.0,432.1291809082031
home_sot_rate_mean_5,4.732853412628174,18.0,196.39479064941406
away_tempo_home_std_5,4.7293596267700195,16.0,241.5500946044922
home_xg_per_shot_home_sum_3,4.722710609436035,20.0,426.162109375
home_sot_rate_home_ema_5,4.7213287353515625,48.0,376.750732421875
away_points_slope_5,4.717301368713379,31.0,457.1778564453125
away_goals_against_slope_5,4.710659503936768,10.0,262.7622375488281
home_sot_rate_sum_3,4.706715106964111,52.0,564.25
rel_xg_per_shot_mean_5_ratio,4.697309494018555,9.0,577.3463745117188
away_goals_for_home_ema_5,4.6842427253723145,24.0,324.4910583496094
away_points_std_5,4.684037208557129,10.0,222.9113311767578
away_goals_against_home_std_5,4.681816577911377,25.0,290.7948303222656
home_goals_for_away_std_5,4.6728715896606445,19.0,375.0051574707031
away_xg_per_shot_mean_5,4.671914577484131,6.0,243.302001953125
home_expected_goals_home_sum_3,4.648777484893799,26.0,613.07373046875
home_goals_against_away_std_5,4.647753715515137,17.0,293.87445068359375
away_matches_14d,4.642426490783691,2.0,157.68760681152344
away_expected_goals_away_std_5,4.6305084228515625,10.0,398.50592041015625
home_points_away_ema_5,4.627557277679443,24.0,365.533447265625
away_points_home_ema_5,4.605632305145264,24.0,316.2950134277344
away_points_mean_5,4.598945140838623,6.0,113.93889617919922
home_expected_goals_away_mean_5,4.591588973999023,13.0,363.64031982421875
away_goals_against_std_5,4.586833953857422,34.0,510.1611328125
away_expected_goals_home_sum_3,4.577799320220947,16.0,452.5928039550781
away_sot_rate_home_mean_5,4.5766072273254395,51.0,489.1947326660156
home_points_away_std_5,4.575017929077148,11.0,326.6305847167969
away_tempo_home_sum_3,4.572800159454346,12.0,252.23951721191406
