feature,gain,weight,cover
home_goals_against_away_ema_5,1.4113609790802002,88.0,258.6619873046875
home_goals_for_std_5,1.4107173681259155,38.0,262.0328063964844
home_tempo_away_ema_5,1.4071639776229858,70.0,211.64503479003906
home_goals_for_slope_5,1.404209017753601,66.0,233.1878204345703
p_away_elo,1.398936152458191,20.0,425.38916015625
h2h_winrate_centered,1.391782522201538,63.0,193.9846954345703
delta_days_since,1.3877073526382446,62.0,299.0823974609375
delta_expected_goals_std_5,1.387460470199585,45.0,311.1627502441406
delta_expected_goals_ema_5,1.3838366270065308,27.0,315.9329833984375
away_expected_goals_ema_5,1.380522608757019,30.0,300.7110595703125
away_xg_per_shot_sum_3,1.3762696981430054,5.0,114.473388671875
home_points_away_mean_5,1.3753193616867065,15.0,214.86636352539062
away_expected_goals_home_sum_3,1.3711042404174805,41.0,279.6058654785156
away_expected_goals_slope_5,1.3580673933029175,39.0,333.8531494140625
rel_expected_goals_mean_5_ratio,1.3573763370513916,26.0,357.70281982421875
home_points_home_sum_3,1.3542134761810303,8.0,102.4373779296875
sum_tempo_slope_5,1.3537462949752808,36.0,221.75277709960938
away_sot_rate_home_sum_3,1.3478387594223022,13.0,197.55116271972656
rel_tempo_mean_5_ratio,1.3437385559082031,45.0,202.855224609375
home_tempo_sum_3,1.3431847095489502,36.0,243.67181396484375
away_days_since,1.3423302173614502,86.0,305.8640441894531
p_home_elo,1.3418582677841187,1.0,134.27696228027344
home_expected_goals_std_5,1.3415933847427368,71.0,344.4283142089844
sum_goals_for_sum_3,1.3410855531692505,41.0,356.095703125
home_goals_against_home_ema_5,1.3409485816955566,88.0,230.6371612548828
home_goals_for_away_mean_5,1.3407379388809204,36.0,387.6275329589844
away_goals_against_mean_5,1.335799217224121,14.0,160.5098876953125
away_matches_14d,1.3274762630462646,1.0,111.15475463867188
home_goals_for_sum_3,1.3213691711425781,15.0,269.9598693847656
away_inj_missing_fixture_cnt,1.3207708597183228,10.0,162.35244750976562
home_inj_questionable_cnt,1.315852165222168,4.0,345.16448974609375
rel_tempo_mean_5_diff,1.3111860752105713,4.0,149.71536254882812
away_goals_against_away_mean_5,1.310185432434082,29.0,255.15481567382812
away_xg_per_shot_home_std_5,1.3090779781341553,11.0,55.57419204711914
home_points_away_ema_5,1.297888994216919,89.0,177.48753356933594
away_xg_per_shot_home_sum_3,1.2923557758331299,13.0,406.17816162109375
home_matches_7d,1.2904270887374878,4.0,400.4794921875
rel_expected_goals_ema_5_ratio,1.2797104120254517,21.0,302.9620056152344
delta_inj_questionable_cnt,1.263636589050293,6.0,461.4830627441406
away_points_mean_5,1.242835521697998,15.0,243.3271942138672
home_matches_14d,1.2389389276504517,6.0,487.2004089355469
away_goals_against_away_sum_3,1.2336890697479248,20.0,219.69595336914062
home_days_since,1.2309119701385498,76.0,245.88296508789062
delta_matches_7d,1.209803819656372,1.0,235.0811004638672
rel_goals_for_mean_5_diff,1.1620270013809204,3.0,52.00849914550781
h2h_winrate_home_lastN,1.1573182344436646,6.0,303.03192138671875
away_points_away_mean_5,1.1308033466339111,14.0,274.3922119140625
away_xg_per_shot_home_ema_5,1.0181986093521118,5.0,135.85183715820312
rel_xg_per_shot_mean_5_diff,0.9602983593940735,3.0,27.853403091430664
rel_expected_goals_ema_5_diff,0.8500484824180603,3.0,535.9033203125
h2h_drawrate_lastN,0.7479351162910461,1.0,16.373281478881836
away_matches_7d,0.0,0.0,0.0
