date,league,fixture_id,home_team,away_team,score,best_bet_type,best_bet_outcome,bet_rating,best_bet_odds,best_bet_ev,result_note,result,profit,bet_decision_notes,close_bucket,decision_profile
2025-08-15 18:45,Ligue 1,1387706,Rennes,Marseille,1-0,1X2,Away,Medium,1.966,0.056195199205704816,Home,Loss,-1.0,,Not close,Baseline
2025-08-16 11:30,Premier League,1378970,Aston Villa,Newcastle,0-0,UNDER25,Under2.5,Medium,2.2760000000000002,0.1640304612915353,0.0 goals,Win,1.2760000000000002,,Close,Baseline
2025-08-16 14:00,Premier League,1378973,Sunderland,West Ham,3-0,1X2,Home,Medium,3.166,0.11509954710653614,Home,Win,2.166,,Close,Baseline
2025-08-16 15:00,Ligue 1,1387701,Lens,Lyon,0-1,UNDER25,Under2.5,Strong,2.1740000000000004,0.20953883186522027,1.0 goals,Win,1.1740000000000004,,Not close,Baseline
2025-08-16 19:05,Ligue 1,1387705,Nice,Toulouse,0-1,1X2,Home,Strong,2.0519999999999996,0.12418611512957711,Away,Loss,-1.0,,Not close,Baseline
2025-08-16 19:30,La Liga,1390827,Valencia,Real Sociedad,1-1,1X2,Home,Medium,2.71,0.08796636718567452,Draw,Loss,-1.0,,Close,Baseline
2025-08-17 13:00,Ligue 1,1387700,Stade Brestois 29,Lille,3-3,UNDER25,Under2.5,Strong,1.9460000000000002,0.12485160148938501,6.0 goals,Loss,-1.0,,Not close,Baseline
2025-08-17 15:15,Ligue 1,1387698,Angers,Paris FC,1-0,1X2,Away,Strong,2.444,0.22446270738212504,Home,Loss,-1.0,,Not close,Baseline
2025-08-17 15:15,Ligue 1,1387702,Metz,Strasbourg,0-1,1X2,Away,Strong,2.298,0.20464040917299586,Away,Win,1.298,,Not close,Baseline
2025-08-17 15:30,Premier League,1378977,Manchester United,Arsenal,0-1,1X2,Away,Strong,2.0799999999999996,0.11589800960420593,Away,Win,1.0799999999999996,,Not close,Baseline
2025-08-18 19:00,La Liga,1390822,Elche,Real Betis,1-1,1X2,Away,Strong,2.346,0.1556307829905661,Draw,Loss,-1.0,,Not close,Baseline
2025-08-22 19:00,Premier League,1378988,West Ham,Chelsea,1-5,UNDER25,Under2.5,Strong,2.154,0.13280730799644713,6.0 goals,Loss,-1.0,,Not close,Baseline
2025-08-23 13:30,Bundesliga,1388316,Union Berlin,VfB Stuttgart,2-1,OVER25,Over2.5,Strong,1.6960000000000002,0.1452150329589843,3.0 goals,Win,0.6960000000000002,,Not close,Baseline
2025-08-23 13:30,Bundesliga,1388313,1. FC Heidenheim,VfL Wolfsburg,1-3,UNDER25,Under2.5,Weak,2.166,0.016923669248403383,4.0 goals,Loss,-1.0,,Not close,Baseline
2025-08-23 14:00,Premier League,1378981,Brentford,Aston Villa,1-0,1X2,Home,Medium,3.2019999999999995,0.0960275768682215,Home,Win,2.2019999999999995,,Not close,Baseline
2025-08-23 15:00,La Liga,1390833,Mallorca,Celta Vigo,1-1,1X2,Away,Medium,2.376,0.11500647340883341,Draw,Loss,-1.0,,Not close,Baseline
2025-08-23 16:30,Bundesliga,1388315,FC St. Pauli,Borussia Dortmund,3-3,OVER25,Over2.5,Weak,1.7879999999999998,0.037958339023590026,6.0 goals,Win,0.7879999999999998,,Not close,Baseline
2025-08-24 13:00,Premier League,1378984,Everton,Brighton,2-0,1X2,Away,Medium,2.5140000000000002,0.1462249056458358,Home,Loss,-1.0,,Not close,Baseline
2025-08-24 13:00,Ligue 1,1387709,Lorient,Rennes,4-0,1X2,Home,Strong,2.582,0.12844311568405908,Home,Win,1.5819999999999999,,Not close,Baseline
