date,league_id,league,fixture_id,home_team,away_team,score,outcome_pick,outcome_prob,outcome_odds,outcome_ev,outcome_decision,outcome_profit,total_pick,total_prob,total_odds,total_edge,total_decision,total_profit
2026-01-13,78,Bundesliga,1388457,FSV Mainz 05,1. FC Heidenheim,2-1,Draw,0.2830050884055473,3.69,0.04428877621646943,B,-0.5,Over,0.5769230769230769,2.0140000000000002,0.09868473495416497,A,1.0140000000000002
2026-01-13,78,Bundesliga,1388459,VfB Stuttgart,Eintracht Frankfurt,3-2,Draw,0.2605595587457912,3.8300000000000005,-0.002056890003619638,NO BET,,Over,0.7,1.6199999999999999,0.11221374045801524,A,0.6199999999999999
2026-01-14,78,Bundesliga,1388454,1. FC Köln,Bayern München,1-3,Home,0.21348897304232436,8.809999999999999,0.8808378525028773,NO BET,,Over,0.7659574468085106,1.264,0.0233912553624821,NO BET,
2026-01-14,78,Bundesliga,1388456,1899 Hoffenheim,Borussia Mönchengladbach,5-1,Home,0.5486652587195937,1.85,0.015030728631248325,NO BET,,Over,0.5769230769230769,1.6260000000000001,-0.009336465061655974,NO BET,
2026-01-14,78,Bundesliga,1388458,RB Leipzig,SC Freiburg,2-0,Draw,0.26725880634774346,3.9240000000000004,0.04872355610854551,B,-0.5,Over,0.6842105263157895,1.6179999999999999,0.09570594849279868,A,-1.0
2026-01-14,78,Bundesliga,1388460,VfL Wolfsburg,FC St. Pauli,2-1,Draw,0.27527239705974305,3.7379999999999995,0.02896822020931933,B,-0.5,Over,0.6842105263157895,1.8439999999999999,0.16242629395064423,A,0.8439999999999999
2026-01-14,135,Serie A,1378018,Inter,Lecce,1-0,Away,0.11760815104646581,19.8,1.3286413907200232,NO BET,,Over,0.5470588235294118,1.528,-0.06844193137748311,NO BET,
2026-01-14,135,Serie A,1378021,Napoli,Parma,0-0,Away,0.14037283647453833,10.67,0.49777816518332396,NO BET,,Over,0.5470588235294118,1.888,0.043378487041504266,B,-0.5
2026-01-15,78,Bundesliga,1388452,FC Augsburg,Union Berlin,1-1,Home,0.46333230301537565,2.424,0.12311750250927056,B,-0.5,Over,0.5342465753424657,2.2299999999999995,0.10721677061481916,NO BET,
2026-01-15,135,Serie A,1378015,Como,AC Milan,1-3,Away,0.4447848093702424,2.54,0.12975341580041566,B,0.77,Under,0.4910714285714285,1.7619999999999998,0.02860423697037867,B,-0.5
2026-01-15,135,Serie A,1378023,Hellas Verona,Bologna,2-3,Home,0.271951054584443,3.6380000000000003,-0.010642063421796188,NO BET,,Under,0.4910714285714285,1.638,0.06934125349418852,B,-0.5
2026-01-16,78,Bundesliga,1388468,Werder Bremen,Eintracht Frankfurt,3-3,Home,0.3844057554096242,2.598,-0.0013138474457964344,NO BET,,Over,0.6842105263157895,1.578,0.08029486366518712,A,0.5780000000000001
2026-01-16,140,La Liga,1391013,Espanyol,Girona,0-2,Home,0.5502552720374974,1.888,0.03888195360679503,NO BET,,Over,0.5185185185185185,2.022,0.04235271540971025,NO BET,
